From,Subject,Snippet,Labels,Has Attachments,Message Length
"""Airbus Human Resources (Do Not Reply)"" <ag@myworkday.com>",AIRBUS - Thank you for applying !,"Subject: Mélanie Picot ‎- JR10256013 ALT 2024 Apprenti Data Analyst (CAND11743411) Dear Mélanie Picot , Thank you for taking the time to complete your application for our ALT 2024 Apprenti Data Analyst","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,6012
France Travail <ne-pas-repondre-message@francetravail.fr>,France Travail - Accusé de réception - Conversation n° 2024061415211546674,"Logo Marianne Logo France Travail Bonjour, Nous avons bien reçu votre message en date du 14/06/2024 à 15:21. Votre conseiller s&#39;engage à vous répondre dans les 48 heures ouvrées. Saviez-vous que","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",False,3234
no-reply@signup.aws,Vérification par e-mail AWS,Vérifier votre adresse e-mail Merci d&#39;avoir démarré le processus de création de compte AWS. Nous voulons nous assurer qu&#39;il s&#39;agit vraiment de vous. Veuillez saisir le code de vérification,"['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,9625
Alertes LinkedIn Jobs <jobalerts-noreply@linkedin.com>,“Analyste de données” : Groupe Crédit Agricole - Chargé(e) d’Activité Data et Pilotage / Data Analyst (H/F),Chargé(e) d&#39;Activité Data et Pilotage / Data Analyst (H/F) chez Groupe Crédit Agricole : Description du poste :En tant que Chargé(e)… ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_UPDATES', 'INBOX']",True,92201
toulouse-dataviz <contact@toulouse-dataviz.fr>,Inscriptions au club: Please Confirm Subscription,"Inscription au club Toulouse DataViz Please Confirm Subscription Yes, subscribe me to this list. If you received this email by mistake, simply delete it. You won&#39;t be subscribed if you don&#39;t","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,13621
"""Business & Decision"" <notification@smartrecruiters.com>",Merci d'avoir postulé chez Business & Decision,"Bonjour Melanie, Nous avons bien reçu votre candidature et vous remercions de la confiance que vous nous témoignez. Si votre profil correspond à nos recherches nous ne manquerons pas de vous rappeler","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,4256
noreply@jehann.fr,[jehann.org] Confirmation de candidature Jehann.fr,"Bonjour, Nous accusons réception de votre candidature et vous remercions pour l&#39;intérêt que vous portez à notre offre. Nous reviendrons vers vous dans les meilleurs délais. Cordialement, L&#39;","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",False,212
LinkedIn <jobs-listings@linkedin.com>,Le poste de ASSISTANT(E) INGENIEUR(E) EN BIOTECHNOLOGIE chez BioC3 pourrait vous convenir  – 1&nbsp;ancien élève,ASSISTANT(E) INGENIEUR(E) EN BIOTECHNOLOGIE chez BioC3 : BioC3 est une start-up spécialisée dans le… ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_SOCIAL', 'INBOX']",True,141202
Sandrine SANCHEZ <s.sanchez@osengo.fr>,"TR: INVITATION JOB DATING Dyn’Aksis/Osengo, le 27 juin 2024 CAHORS","Bonjour, Nous sommes heureux de vous inviter, avec notre partenaire Aksis, au Dyn&#39;Aksis/Osengo, le 27 juin 2024 à 14h15 dans nos locaux : Espace Entreprise au 75 rue St Géry, 46 000 Cahors A l&#39;","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,7819
Shopopop <hello@info.shopopop.com>,"Mme mélanie picot, c'est le moment d'évaluer votre livraison !",Vos retours sont précieux et nous aident à améliorer notre service. ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏ ‌ ﻿ ͏,"['CATEGORY_UPDATES', 'INBOX']",True,45250
Alertes LinkedIn Jobs <jobalerts-noreply@linkedin.com>,“Analyste de données” : DAHER - Analyste de Données H/F et plus encore,Analyste de Données H/F chez DAHER : Vous avez envie de FAIRE DECOLLER votre carrière… ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_UPDATES', 'INBOX']",True,99264
Carrefour <carrefour@services.carrefour.fr>,🚚 Votre commande part en livraison !,"Bonne nouvelle Mélanie, Vos courses sont prêtes ! Malgré tous nos efforts, un ou plusieurs produit(s) n&#39;étai(en)t plus disponible(s) lors de la préparation de votre commande. Quand cela était","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,45469
France Travail <ne-pas-repondre-message@francetravail.fr>,Votre fiche d'information personnalisée,"France Travail - Accédez à tous vos services candidat. Bonjour, Suite à votre demande de renseignement le 07/06/2024 à 09:26, vous trouverez la fiche « Le complément d&#39;allocation en cas de reprise","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",False,7231
France Travail <pole-emploi@noreply-pole-emploi.fr>,Journées Portes Ouvertes AFPA le 13 juin 2024,Bonjour! France Travail vous informe: L&#39;AFPA vous propose de venir les rencontrer. Vous avez des projets professionnels en tête ou êtes à la recherche d&#39;inspiration pour votre carrière ?,"['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",False,10296
"""L'équipe Greenpeace"" <informations@act.greenpeace.fr>","Et vous, vous faites quoi le 9 juin ?","La newsletter de Greenpeace France Voir la version en ligne La newsletter Juin 2024 parlement européen Le 9 juin, on va voter. Et vous ? Qualité de l&#39;air, pollution des eaux, émissions de CO2,","['CATEGORY_PROMOTIONS', 'INBOX']",True,55576
France Travail <ne-pas-repondre-message@francetravail.fr>,France Travail - Accusé de réception - Conversation n° 2024060610232769917,"Logo Marianne Logo France Travail Bonjour, Nous avons bien reçu votre message en date du 06/06/2024 à 10:23. Votre conseiller s&#39;engage à vous répondre dans les 48 heures ouvrées. Saviez-vous que","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",False,3234
Votre prestation <votre-prestation@enquete-ipsos-poleemploi.com>,"Votre avis sur la prestation Un emploi stable, c’est pour moi","Votre avis sur la prestation Toutes les clés pour mon emploi durable Bonjour, Vous avez participé à une prestation « Un emploi stable, c&#39;est pour moi » au cours de ces 4 derniers mois. Votre avis","['CATEGORY_UPDATES', 'INBOX']",True,25639
"""École du Web (Enzo)"" <ledesignerduweb@107026990.mailchimpapp.com>",Arrêtez De Faire Votre Portfolio Avec React !,"Arrêtez De Faire Votre Portfolio Avec React ! React permet de créer des SPA (single page application). Lorsqu&#39;on visite une SPA, un gros morceau de JavaScript est téléchargé puis exécuté, afin de","['CATEGORY_PERSONAL', 'INBOX']",True,28684
LinkedIn <messages-noreply@linkedin.com>,"Puisque vous avez enregistré une offre d’emploi de Scientifique des données, améliorez vos compétences pour des postes de Scientifique des données en suivant ces cours",Cours gratuits pour vous aider à vous démarquer lorsque vous postulez à des postes de Scientifique des données ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_SOCIAL', 'INBOX']",True,123912
Digitalskills <noreply@cariforefoccitanie.fr>,[Digitalskills] Détails de connexion,Identifiant : melanie.picot01@gmail.com Utilisez le mot de passe que vous avez défini lors de l&#39;inscription pour vous connecter. https://www.digitalskills.fr/connexion Vous avez oublié votre mot de,"['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",False,404
Digitalskills <noreply@cariforefoccitanie.fr>,[Digitalskills] Activation de melanie.picot01@gmail.com,"Pour activer votre compte, veuillez cliquer sur le lien suivant : https://www.digitalskills.fr/?gfur_activation=944a813e750ea504 Après l&#39;activation, vous recevrez *un autre e-mail* contenant votre","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",False,219
DigitalSkills <no-reply@taleez.com>,Accusé réception de votre candidature spontanée,"Bonjour, Nous vous remercions de l&#39;intérêt que vous portez à DigitalSkills et vous confirmons que votre candidature a bien été reçue. Nous allons l&#39;étudier avec soin et reviendrons vers vous si","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,16134
DigitalSkills <no-reply@taleez.com>,Confirmez votre candidature pour DigitalSkills,"Bonjour, Merci de votre intérêt pour notre entreprise. Afin de finaliser votre candidature, vous devez valider votre adresse e-mail en cliquant simplement sur le bouton ci-dessous : Valider ma","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,16590
donotreply.ge@numeric-emploi.org,Modification des informations de connexion pour Madame Mélanie PICOT sur Numeric Emploi Occitanie,"Madame Mélanie PICOT, Une demande de réinitialisation de votre mot de passe pour votre compte a été faite sur Numeric Emploi Occitanie. Vous pouvez maintenant vous connecter en cliquant sur le lien ci-","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,2679
Souhaieb CHRIGUI <invitations@linkedin.com>,Je souhaite que nous nous connections,"Mélanie, répondez à l&#39;invitation de Souhaieb maintenant. ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏","['CATEGORY_SOCIAL', 'INBOX']",True,154203
Thales Group <recruiting@jobalerts.thalesgroup.com>,Thank you for applying,"Banner Image Dear Mélanie, We have received your application for the position of ALTERNANCE - Datascientist- F/H and are currently reviewing your experience and qualifications. We thank you for your","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,12978
LinkedIn <jobs-listings@linkedin.com>,Poste de ALTERNANCE - Datascientist- F/H chez Thales : recrute activement,ALTERNANCE - Datascientist- F/H chez Thales : QUI SOMMES-NOUS ?L&#39;activité avionique fournit… ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_SOCIAL', 'INBOX']",True,162013
"""Picard & Nous"" <newsletter@mail.picard.fr>",Les Jours Picard&Nous sont de retour !,Profitez de -30% sur plusieurs produits ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ Cliquez ici pour lire ce super message en ligne Picard&amp;NOUS CATALOGUES PROMOTIONS MAGASINS MON COMPTE Votre solde est de 30 points,"['CATEGORY_PROMOTIONS', 'INBOX']",True,70284
"""France Travail - Mes événements emploi"" <ne-pas-repondre-message@francetravail.fr>",Rappel de confirmation en présentiel,"Voir la version en ligne Bonjour MELANIE PICOT Petit rappel, Job dating en présentiel, c&#39;est demain ! Salon du numérique Digi&#39;Talent mardi 04 juin 2024 09:00-17:00 (heure de Paris) 55 Avenue","['CATEGORY_UPDATES', 'INBOX']",False,21317
HelloWork Actus <newsletter@emails.hellowork.com>,Votre lettre de motivation en moins de 2 minutes,"15 minutes de lecture pour vous aider à choisir votre job Logo HelloWork Logo HelloWork 15mn de lecture pour vous aider à choisir votre job. LA CONCEPTION, C&#39;EST NOUS. LA PERSONNALISATION, C&#39;","['CATEGORY_PROMOTIONS', 'INBOX']",False,74148
LinkedIn <jobs-noreply@linkedin.com>,Nouvelles offres d’emploi similaires à Data Analyst & Support SI Planning-H/F chez Pierre Fabre Group,Offres d&#39;emploi similaires à Data Analyst &amp; Support SI Planning-H/F chez Pierre Fabre Group ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_UPDATES', 'INBOX']",True,161638
France Travail <pole-emploi@noreply-pole-emploi.fr>,"France Travail vous propose un nouveau métier : Technichien pneumatique, pourquoi pas vous ?","France Travail Candidat Bonjour, Techniciens pneumatiques sur véhicules industriels H/F, pourquoi pas vous ? Vous êtes un(e) passionné(e) dans l&#39;âme, autodidacte, vous appréciez le travail en","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",False,44414
"""France Travail - Mes événements emploi"" <ne-pas-repondre-message@francetravail.fr>",Confirmation d'inscription sur place,Donnez un résumé de cet email à vos destinataires Voir la version en ligne Bonjour MELANIE PICOT Nous vous confirmons votre inscription pour Le Job dating en présentiel ! Salon du numérique Digi&#39;,"['CATEGORY_PERSONAL', 'INBOX']",False,22262
France Travail <pole-emploi@noreply-pole-emploi.fr>,Salon Numérique Digi'Talent - 4 juin à la Cité ,"France Travail Candidat Bonjour, Participez au salon Digi&#39;Talent le 04 juin à la Cité, un événement dédié aux métiers du numérique en Haute-Garonne. Au programme : Rencontres avec des employeurs en","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",False,10030
France Travail <pole-emploi@noreply-pole-emploi.fr>,Salon Numérique Digi'Talent - 4 juin à la Cité ,"France Travail Candidat Bonjour, Participez au salon Digi&#39;Talent le 04 juin à la Cité, un événement dédié aux métiers du numérique en Haute-Garonne. Au programme : Rencontres avec des employeurs en","['CATEGORY_UPDATES', 'INBOX']",False,10030
HelloWork <emploi@emails.hellowork.com>,L’offre de Alternance - Ingénieur Big Data Python SQL Aws - Aéronautique - Toulouse H/F à Colomiers n’est plus disponible,"Suivi de votre candidature Logo Hellowork Logo Hellowork Bonjour Melanie, Vous avez postulé il y a plusieurs semaines à une offre de Alternance - Ingénieur Big Data Python SQL Aws - Aéronautique -","['CATEGORY_UPDATES', 'INBOX']",False,25484
LinkedIn <jobs-listings@linkedin.com>,Poste de ALT 2024 Apprenti(e) analyste de données (m/f) chez Airbus : recrute activement,ALT 2024 Apprenti(e) analyste de données (m/f) chez Airbus : Job DescriptionVous voulez déployer vos ailes ?… ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_SOCIAL', 'INBOX']",True,159634
Thales Group <thales@myworkday.com>,Thales Careers - ALTERNANCE - Développeur BackEnd Big Data F/H (R0247295),"Dear Mélanie Picot, We have reviewed your application for the position of ALTERNANCE - Développeur BackEnd Big Data F/H (R0247295). After careful consideration, we regret to inform you that on this","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,4864
Alertes LinkedIn Jobs <jobalerts-noreply@linkedin.com>,“Analyste de données” : Pierre Fabre Group - Data Analyst & Support SI Planning-H/F et plus encore,"Data Analyst &amp; Support SI Planning-H/F chez Pierre Fabre Group : Nous recrutons en CDI à Castres (81), un(e) Data… ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏","['CATEGORY_UPDATES', 'INBOX']",True,123375
Oportune KPOTOR <invitations@linkedin.com>,Je vous ai envoyé une demande de connexion,"Mélanie, répondez à l&#39;invitation de Oportune maintenant. ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏","['IMPORTANT', 'CATEGORY_SOCIAL', 'INBOX']",True,154726
"""Airbus Human Resources (Do Not Reply)"" <ag@myworkday.com>",AIRBUS - Le statut de votre candidature a été mis à jour,"Objet : Mélanie Picot ‎- JR10255455 ALT 2024 Apprenti(e) en Data Analyst - Solution AI-LowCode/NoCode (h/f) (CAND11743411) Cher(e) Mélanie Picot , Merci pour votre candidature au poste de ALT 2024","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,5753
Alertes LinkedIn Jobs <jobalerts-noreply@linkedin.com>,“Analyste de données” : Défi RH - Apprentis Data Scientist - Data Analyst H/F et plus encore,"Apprentis Data Scientist - Data Analyst H/F chez Défi RH : Défi RH, Cabinet De Recrutement Dédié à L&#39;emploi… ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏","['CATEGORY_UPDATES', 'INBOX']",True,131125
HelloWork notifications <notification@emails.hellowork.com>,"Melanie, Staffmatch France permanent recrute un Chargé de Recrutement H/F",Nous avons trouvé de nouvelles offres d&#39;emploi qui pourraient vous intéresser ! Logo Hellowork Logo Hellowork Hello melanie ! 1 nouvelle offre correspond à votre profil. Chargé de Recrutement H/F,"['CATEGORY_UPDATES', 'INBOX']",False,87202
France Travail <service-candidat@pole-emploi.fr>,FORUM EMPLOI du Sud-Est Toulousain à St-ORENS le mercredi 29 mai à 13h30,"France Travail Candidat Bonjour, La ville de Saint-Orens et France Travail vous invitent à participer au prochain: FORUM EMPLOI du SUD-EST TOULOUSAIN Mercredi 29 mai 2024 de 13h30 à 17h30 Maison des","['CATEGORY_UPDATES', 'INBOX']",False,81862
HelloWork notifications <notification@emails.hellowork.com>,"Melanie, Solutions 30 recrute un Alternant Data Analyst H/F",Nous avons trouvé de nouvelles offres d&#39;emploi qui pourraient vous intéresser ! Logo Hellowork Logo Hellowork Hello melanie ! 5 nouvelles offres correspondent à votre profil. Alternant Data Analyst,"['CATEGORY_UPDATES', 'INBOX']",False,109433
Opodo Prime <fr@e.opodo.com>,Votre abonnement Prime : mises à jour importantes,De nouvelles fonctionnalités et de nouveaux avantages vous attendent… ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌,"['CATEGORY_UPDATES', 'INBOX']",False,33569
Alertes LinkedIn Jobs <jobalerts-noreply@linkedin.com>,“Analyste de données” : Airbus - ALT 2024 Apprenti(e) analyste de données (m/f) et plus encore,ALT 2024 Apprenti(e) analyste de données (m/f) chez Airbus : Job DescriptionVous voulez déployer vos ailes ?… ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_UPDATES', 'INBOX']",True,155520
HelloWork notifications <notification@emails.hellowork.com>,"Melanie, Staffmatch France permanent recrute un Chargé de Recrutement H/F",Nous avons trouvé de nouvelles offres d&#39;emploi qui pourraient vous intéresser ! Logo Hellowork Logo Hellowork Hello melanie ! 2 nouvelles offres correspondent à votre profil. Chargé de Recrutement,"['CATEGORY_UPDATES', 'INBOX']",False,92638
Thales Group <recruiting@jobalerts.thalesgroup.com>,Thank you for applying,"Banner Image Dear Mélanie, We have received your application for the position of ALTERNANCE - Ingénieur Analyse de Données and are currently reviewing your experience and qualifications. We thank you","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,12976
LinkedIn <jobs-listings@linkedin.com>,Data Scientist - (H/F) - En alternance chez Jooble et d’autres postes à pourvoir,Data Scientist - (H/F) - En alternance chez Jooble : We are promoting this job opportunity as provided… ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_SOCIAL', 'INBOX']",True,159249
"""Mélanie Picot"" <melanie.picot01@gmail.com>",img bureau fond blanc,,"['IMPORTANT', 'SENT', 'INBOX']",True,2
Epitech <mscpro-toulouse@epitech.eu>,Epitech : restez connectés avec l'actualité du campus de Toulouse,Consulter cet email en ligne Epitech : Oui à la Tech ! Epitech • Mai 2024 Epitech : nouveaux locaux à Lille DES NOUVEAUX LOCAUX À LILLE Le campus de Lille s&#39;est installé dans de nouveaux locaux.,"['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,58545
"""Numéric'Emploi Occitanie"" <coordination.occitanie@numeric-emploi.org>",Numéric'Emploi : questionnaire ,"Chers candidats, Nous vous invitons à remplir ce questionnaire sur votre accompagnement dans le cadre du dispositif Numéric&#39;Emploi Occitanie. Vos réponses nous aideront à mettre à jour votre","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,3983
HelloWork Alert <alerte@emails.hellowork.com>,"Melanie, HelloWork a trouvé une nouvelle offre d'emploi rien que pour vous ! (data)",CEA recherche des candidats comme vous Logo Hellowork Logo Hellowork Hello Melanie ! 1 nouvelle offre correspond à votre alerte. data Apprenti Ingénieur Management de l&#39;Énergie - Data Analyst en,"['CATEGORY_PROMOTIONS', 'INBOX']",False,79520
Alertes LinkedIn Jobs <jobalerts-noreply@linkedin.com>,3 nouvelles offres d’emploi pour “data”,Voir les offres d&#39;emploi - Toulouse ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_UPDATES', 'INBOX']",True,134655
Google Cloud <CloudPlatform-noreply@google.com>,Confirmation : votre essai de Google Cloud Platform,Lancez-vous rapidement et découvrez les produits disponibles sur GCP. Google Cloud Accéder à ma console Bienvenue sur Google Cloud ! Suivez ce tutoriel pour apprendre les bases et découvrez tout ce que,"['CATEGORY_UPDATES', 'INBOX']",True,67475
Alertes LinkedIn Jobs <jobalerts-noreply@linkedin.com>,2 nouvelles offres d’emploi pour “data”,Voir les offres d&#39;emploi - Toulouse ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_UPDATES', 'INBOX']",True,127069
France Travail <pole-emploi@noreply-pole-emploi.fr>,La Newsletter Du Numérique,Pour ouvrir la Newsletter cliquez ici,"['CATEGORY_UPDATES', 'INBOX']",False,902
Prestation Pole Emploi <votre-rendez-vous@aksis.fr>,Confirmation de rendez-vous,"Bonjour MELANIE PICOT, Vous avez une demande de signature pour le rendez-vous : Bilan Vous avez assisté à un rendez-vous, en date du 16-05-2024 de 09h00 à 10h00. Pour confirmer votre présence, merci de","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,2378
LinkedIn <notifications-noreply@linkedin.com>,Votre profil est apparu dans 6 recherches,Découvrez qui a recherché votre profil ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_SOCIAL', 'INBOX']",True,98914
AddViseo <noreply@addviseo.com>,[AddViseo] - Rappel rendez-vous AddViseo,"Avec AddViseo, restez informé où que vous soyez ! Logo Bonjour MELANIE PICOT Dans le cadre de la prestation EMS, votre consultant M Jean Daniel BERNARD vous fait parvenir ce rappel. 16 mai Rappel :","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,42495
